0,天气之子,"
类型:
              爱情／动画／奇幻
            ","
上映时间:
              2019-11-01
            "
1,误杀,"
类型:
              剧情／犯罪
            ","
上映时间:
              2019-12-13
            "
2,唐人街探案2,"
类型:
              喜剧／动作／悬疑
            ","
上映时间:
              2018-02-16
            "
3,哪吒之魔童降世,"
类型:
              动画／喜剧／奇幻
            ","
上映时间:
              2019-07-26
            "
4,少年的你,"
类型:
              爱情／青春／剧情
            ","
上映时间:
              2019-10-25
            "
5,吹哨人,"
类型:
              剧情／犯罪／悬疑
            ","
上映时间:
              2019-12-06
            "
6,哥斯拉2：怪兽之王,"
类型:
              科幻／灾难／动作
            ","
上映时间:
              2019-05-31
            "
7,战狼2,"
类型:
              动作／战争
            ","
上映时间:
              2017-07-27
            "
8,毒液2,"
类型:
              动作／科幻／惊悚／恐怖
            ","
上映时间:
              2020-06-25
            "
9,恐怖电影院2,"
类型:
              恐怖／惊悚
            ","
上映时间:
              2017-10-20
            "
10,野性的呼唤,"
类型:
              剧情／冒险
            ","
上映时间:
              2020-02-21
            "
11,复仇者联盟4：终局之战,"
类型:
              动作／冒险／奇幻
            ","
上映时间:
              2019-04-24
            "
12,冰雪奇缘2,"
类型:
              喜剧／动画／冒险
            ","
上映时间:
              2019-11-22
            "
13,活着,"
类型:
              灾难
            ","
上映时间:
              2020-06-24
            "
14,火箭少女101飞行演唱会*广州站,"
类型:
              歌舞
            ","
上映时间:
              2019-03-30
            "
15,疯狂的外星人,"
类型:
              剧情／喜剧／科幻
            ","
上映时间:
              2019-02-05
            "
16,中国机长,"
类型:
              剧情／传记
            ","
上映时间:
              2019-09-30
            "
17,两只老虎,"
类型:
              剧情／喜剧
            ","
上映时间:
              2019-11-29
            "
18,流浪地球,"
类型:
              剧情／冒险／科幻
            ","
上映时间:
              2019-02-05
            "
19,星球大战：天行者崛起,"
类型:
              动作／科幻／冒险
            ","
上映时间:
              2019-12-20
            "
20,最美逆行,"
类型:
              剧情
            ","
上映时间:
              2020-06-28
            "
21,釜山行,"
类型:
              动作／惊悚／灾难
            ","
上映时间:
              2016-05-13
            "
22,囧妈,"
类型:
              剧情／喜剧
            ","
上映时间:
              2020-01-25
            "
23,我和我的祖国,"
类型:
              剧情
            ","
上映时间:
              2019-09-30
            "
24,速度与激情：增压,"
类型:
              动作／短片
            ","
上映时间:
              2015-06-25
            "
25,因爱而伟大,"
类型:
              剧情／家庭
            ","
上映时间:
"
26,数码宝贝大冒险：最后的进化·羁绊,"
类型:
              动画／冒险
            ","
上映时间:
              2020-02-21
            "
27,泰迦奥特曼剧场版 新世代CLIMAX,"
类型:
              科幻／冒险
            ","
上映时间:
              2020-03-06
            "
28,蜘蛛侠：英雄远征,"
类型:
              动作／冒险／科幻
            ","
上映时间:
              2019-06-28
            "
29,与神同行：罪与罚,"
类型:
              剧情／奇幻
            ","
上映时间:
              2017-12-20
            "
